Job title,Company name,Location,Job type,Experience Level,Experience years,Skills
Banking Accountant,Talaat Moustafa Group,"Madinaty, Cairo, Egypt ",Full Time,Entry Level,0 - 1 Yrs of Exp,"Accounting/Finance,Banking,Accounting,Banking,Bookkeeping,Finance,EAS,Financial Analysis,English,Communication skills"
Accounting Manager,Confidential,"Giza, Egypt ",Full Time,Manager,7 - 10 Yrs of Exp,"Accounting/Finance,Accounting,Financial Management,Financial Analysis"
CFO,Confidential,"Maadi, Cairo, Egypt ",Full Time,Senior Management,15 - 20 Yrs of Exp,"Accounting/Finance,C-Level Executive/GM/Director,Finance,Financial Management,Financial Analysis,Banking,Accounting"
National_Financial Analyst,Dubai Festival City,"Cairo, Egypt ",Full Time,Not specified,Not Specified,"Project/Program Management,Analyst/Research,Finance,Financial Analysis,Accounting,Microsoft Office,Commerce,Analysis,Financial Management"
Finance Director - Food Industry ( International Company ),Pillars,"Cairo, Egypt ",Full Time,Manager,10 - 15 Yrs of Exp,"Accounting/Finance,Banking,Operations/Management,Accounting,Costing,Commerce,CMA,Treasury,Financial Analysis,Management"
Internal Audit Manager,Confidential,"Katameya, Cairo, Egypt ",Full Time,Manager,7 - 10 Yrs of Exp,"Accounting/Finance,Administration,Internal audit,Audit,Manager,Financial Analysis,Finance"
Assurance Graduates - Egypt,PricewaterhouseCoopers,"Cairo, Egypt ",Full Time,Not specified,Not Specified,"Quality,Pharmaceutical,quality assurance,quality control,science,quality,engineering,accounting,finance"
Treasury Manager,Nahdet Misr Publishing Group,"Mohandessin, Giza, Egypt ",Full Time,Manager,6+ Yrs of Exp,"Accounting/Finance,Manufacturing,FMCG,Treasury,Treasury Analysis,Cash Management,Payments,Accounting,Finance"
Corporate Treasury Senior accountant,AlGammal Contracting,"Katameya, Cairo, Egypt ",Full Time,Experienced,7 - 10 Yrs of Exp,"Accounting/Finance,Administration,Banking,Accounting,Accounting Software,Finance,Financial Management,Financial Analysis,CMA,CPA"
Finance Manager,Confidential,"Katameya, Cairo, Egypt ",Full Time,Manager,10 - 12 Yrs of Exp,"Accounting/Finance,Operations/Management,Finance,Financial,Financial Analysis,CFA,CMA,CPA,Reporting,MBA"
"ETIC, Business Analyst- Senior Associate",PricewaterhouseCoopers,"Cairo, Egypt ",Full Time,Not specified,Not Specified,"Analyst/Research,Engineering - Telecom/Technology,Business Analysis,Information Technology (IT),Computer Science,Analysis,Software Development,Computer Engineering,Software"
Accountant,Confidential,"Nasr City, Cairo, Egypt ",Full Time,Experienced,2 - 5 Yrs of Exp,"Accounting/Finance,Administration,Accounting,Accounting Software,Finance,Financial Management,MS Excel,MS,Financial Analysis,MS Office"
General Accountant,Confidential,"Alexandria, Egypt ",Full Time,Entry Level,1 - 3 Yrs of Exp,"Accounting/Finance,Banking,Logistics/Supply Chain,Accounting,analytical,Finance,Financial Analysis,Financial Management,Ledger,MS Excel"
Treasury Accountant,T&D Design,"New Cairo, Cairo, Egypt ",Full Time,Experienced,0 - 4 Yrs of Exp,"Accounting/Finance,Accounting,Finance,Treasury,Communication skills,Financial Analysis,ERP,English,Management,Microsoft Office"
Online Live Support Senior Specialist (Application Support Engineer),Network International -Egypt,"Cairo, Egypt ",Full Time,Experienced,2 - 3 Yrs of Exp,"Banking,IT/Software Development,SQL,Oracle PL/SQL,Payment Solutions,Payments,Data Analytics,Data Analysis,Computer Science,Financial Services"
Integration System Analyst,Fawry for Banking Technology and Electronic Payments S.A.E,"Giza, Egypt ",Full Time,Experienced,3 - 6 Yrs of Exp,"IT/Software Development,Analyst/Research,Business Analysis,Analysis,System Analysis,System Integration,Software,SQL,SOAP,UML"
Accountant,Confidential,"10th of Ramadan City, Sharqia, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,"Accounting/Finance,Banking,Manufacturing/Production,Accounting,excel,Finance,Financial Analysis,GAAP,MS Excel,Accounting Software"
Senior Performance Management Specialist,Confidential,"New Cairo, Cairo, Egypt ",Full Time,Experienced,5+ Yrs of Exp,"Human Resources,Analyst/Research,Business Analytics,OKRs,Performance Management,Analytics,Business Analysis,Construction,Business Administration,Business Process"
Financial Manager (Contracting experience),AlGammal Contracting,"Katameya, Cairo, Egypt ",Full Time,Manager,10 - 12 Yrs of Exp,"Accounting/Finance,Operations/Management,Finance,Financial Management,Financial Analysis,Accounting,Financial"
Financial Manager - Freight Forwarding,Confidential,"Alexandria, Egypt ",Full Time,Manager,12+ Yrs of Exp,"Accounting/Finance,CMA,CPA,Finance,Financial Management,Financial Analysis,Communication Skills,Computer Skills,Microsoft Office,Microsoft Excel"
Sales Analyst,Nahdet Misr Publishing Group,"Giza, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"Analyst/Research,Analysis,Data Analysis,Sales,Sales Analysis,Data"
Financial Manager,Confidential,"Maadi, Cairo, Egypt ",Full Time,Manager,10 - 20 Yrs of Exp,"Accounting/Finance,Operations/Management,Accounting,Communication,Finance,Financial Analysis,Financial Management"
Finance Manager,Confidential,"New Cairo, Cairo, Egypt ",Full Time,Manager,10 - 15 Yrs of Exp,"Accounting/Finance,Finance,Financial Analysis,Financial Management,analytical,Financial Reporting"
Quality Assurance Manager,Confidential,"Alexandria, Egypt ",Full Time,Manager,8+ Yrs of Exp,"Quality,ISO,ISO 9001,ISO 14001,quality,Quality Assurance,Analysis,sops"
Internal Auditor,Venus International Free Zone,"Cairo, Egypt ",Full Time,Entry Level,2 - 5 Yrs of Exp,"Accounting/Finance,Operations/Management,Analyst/Research,Auditing standards,auditor,Finance,Accounting,Internal auditor,Procedures,Financial Analysis"
Treasurer,Talaat Moustafa Group,"Cairo, Egypt ",Full Time,Manager,1 - 3 Yrs of Exp,"Accounting/Finance,Accounting,Treasury,Finance,Microsoft Office,ERP,SAP,Commerce,Financial Analysis,Communication Skills"
Junior Accountant,Confidential,"Nasr City, Cairo, Egypt ",Full Time,Entry Level,0 - 3 Yrs of Exp,"Accounting/Finance,Accounting,Finance,CMA,Commerce,Financial Analysis,Financial Management"
business Project Deliverables Writer,Thaka International,"Badr City, Cairo, Egypt ",Full Time,Experienced,8+ Yrs of Exp,"Administration,Business Development,Project/Program Management,Project,Manager,Project Manager,Project Management,Management,business,Writing"
Senior Budget & Cost Control Accountant,Confidential,"Obour City, Cairo, Egypt ",Full Time,Experienced,4 - 8 Yrs of Exp,"Accounting/Finance,Hospitality/Hotels/Food Services,Project/Program Management,Accounting,Analysis,Control,Cost,Cost Control,Finance,Financial Analysis"
Internal Audit Manager,Confidential,"Heliopolis, Cairo, Egypt ",Full Time,Manager,5 - 7 Yrs of Exp,"Accounting/Finance,Quality,Accounting,Analysis,Auditing,Finance,Financial Analysis,English,Financial,Procedures"
Business Analyst (KSA),Ejada,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,2 - 5 Yrs of Exp,"IT/Software Development,Analyst/Research,Analysis,business,Business Analysis"
Financial Manager,Confidential,"New Cairo, Cairo, Egypt ",Full Time,Manager,10 - 15 Yrs of Exp,"Accounting/Finance,Banking,Operations/Management,Accounting,Budget,Financial Services,Finance,Financial Manager,Financial Management,Financial Analysis"
Auditor,Confidential,"Obour City, Cairo, Egypt ",Full Time,Entry Level,1 - 2 Yrs of Exp,"Accounting/Finance,Accounting,Audit,Finance,Financial Analysis,Internal audit,Auditing"
Senior Financial Controller,Confidential,"New Cairo, Cairo, Egypt ",Full Time,Experienced,7+ Yrs of Exp,"Accounting/Finance,Accounting,Finance,Construction,Financial Analysis,Financial Management"
ERP System Analyst,Xceed Contact Center,"Maadi, Cairo, Egypt ",Full Time,Entry Level,0 - 1 Yrs of Exp,"IT/Software Development,Engineering - Telecom/Technology,Engineering,Oracle,Programming,Software Engineering,SQL,Software Development,Software,System Analysis"
Sales Analyst,Confidential,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,5 - 8 Yrs of Exp,"Analyst/Research,Sales/Retail,Analysis,Business Analysis,Communication,ERP,excel,Sales,SQL,Data Analysis"
Payable Accountant,Ibn Sina Pharma,"Obour City, Cairo, Egypt ",Full Time,Entry Level,1 - 3 Yrs of Exp,"Accounting/Finance,Accounting,Accounts Payable,Commerce,Communication,Communication skills,Finance,Financial Analysis,English,MS Office"
Financial Manager - El Mohandesin,Confidential,"Alexandria, Egypt ",Full Time,Manager,15 - 20 Yrs of Exp,"males_only,Accounting/Finance,Accounting,Analysis,analytical,Budgeting,Communication,CFA,Communication skills,Financial,Financial Analysis"
Financial Reporting & Budgeting Manager,GPS,"Heliopolis, Cairo, Egypt ",Full Time,Manager,8 - 10 Yrs of Exp,"Accounting/Finance,Accounting,Budgeting,Finance,Financial,Financial Analysis,Financial Management,Financial Reporting,Forecasting,Reporting"
Business Development Manager,Confidential,"Cairo, Egypt ",Full Time,Manager,5+ Yrs of Exp,"Business Development,Business Development,Analysis,Communication,Communication skills,Management,Microsoft Office,sales skills,Business Administration,Sales"
Quality Assurance Supervisor,Fawry for Banking Technology and Electronic Payments S.A.E,"6th of October, Giza, Egypt ",Full Time,Experienced,3 - 7 Yrs of Exp,"Quality,Analyst/Research,Communication,business,Quality Assurance,quality,QA,Management,MIS,Reporting"
Project Financial Manager,COLAS RAIL Egypt,"Downtown, Cairo, Egypt ",Full Time,Manager,10 - 15 Yrs of Exp,"Accounting/Finance,Engineering - Construction/Civil/Architecture,Accounting,Analysis,Finance,Financial Analysis,Financial Management,Project Management,Construction,ERP"
Chief Accountant (Home Appliances),Confidential,"New Nozha, Cairo, Egypt ",Full Time,Senior Management,15 - 20 Yrs of Exp,"Accounting/Finance,Operations/Management,C-Level Executive/GM/Director,Finance,Financial Management,Accounting,Financial Analysis,CIMA,CPA,Computer Skills"
Senior Tax Accountant,Confidential,"Obour City, Cairo, Egypt ",Full Time,Experienced,4 - 6 Yrs of Exp,"Accounting/Finance,Banking,Accounting,Auditing,excel,ERP,Finance,Financial,Financial Analysis,Financial Management"
Risk Officer,Erada,"Maadi, Cairo, Egypt ",Full Time,Experienced,4 - 5 Yrs of Exp,"Accounting/Finance,Banking,Analyst/Research,Accounting,Risk Management,Finance,Financial,Financial Analysis,Analysis"
Senior Market Research Analyst,Confidential,"Maadi, Cairo, Egypt ",Full Time,Experienced,5 - 8 Yrs of Exp,"Business Development,Marketing/PR/Advertising,Analyst/Research,Market Research,Analysis,Economics,Political Science,E-Marketing,Marketing"
Strategy Analyst,B.TECH,"Nasr City, Cairo, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,"Business Development,Operations/Management,Analyst/Research,Analysis,Business Analysis,Consulting,Economics,Corporate,Market Research,Finance"
Fraud Monitoring Analyst (ORA Bank) - French Speaker,Network International -Egypt,"New Cairo, Cairo, Egypt ",Full Time,Entry Level,0 - 2 Yrs of Exp,"Banking,Fraud,Banking,Analysis,French speaker"
Tax Accountant,Confidential,"New Nozha, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"Accounting/Finance,tax systems,Billing,ERP System,Finance,Financial Analysis,Tax,ERP,Accounting"
Hotel CFO,Confidential,"Sharm Alsheikh, South Sinai, Egypt ",Full Time,Senior Management,15 - 20 Yrs of Exp,"Accounting/Finance,Hospitality/Hotels/Food Services,Hospitality Management,Financial Analysis"
Data Analyst,Thaka International,"Badr City, Cairo, Egypt ",Full Time,Experienced,3 - 7 Yrs of Exp,"IT/Software Development,Analyst/Research,Engineering - Telecom/Technology,Administration,analytical,Business Administration,Information Technology (IT),Communication skills,business,Computer Science"
Senior Accountant,Confidential,"Azarita, Alexandria, Egypt ",Full Time,Experienced,0 - 3 Yrs of Exp,"Accounting/Finance,Accounting,Finance,Financial Analysis,Financial Management"
Warranty Engineer,Confidential,"Maadi, Cairo, Egypt ",Full Time,Experienced,3+ Yrs of Exp,"Engineering - Mechanical/Electrical,Warranty,Mechanical Engineering,Engineering,Analysis,Warranty Engineering,Automative,Computer Skills,Automotive"
Data Engineer,Ibn Sina Pharma,"New Cairo, Cairo, Egypt ",Full Time,Experienced,1 - 3 Yrs of Exp,"IT/Software Development,Analyst/Research,Engineering - Telecom/Technology,Big Data,AWS,Computer Engineering,Computer Science,Data Science,Design,Engineering"
Junior Procurement Engineer - Electrical,Solera,"Cairo, Egypt ",Full Time,Entry Level,2 - 5 Yrs of Exp,"Purchasing/Procurement,Engineering - Mechanical/Electrical,Engineering,Electrical Engineering,Procurement Engineer,Analysis,MS,AutoCAD,Procurement,Purchasing"
Senior Financial Analyst,Ibn Sina Pharma,"New Cairo, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"Accounting/Finance,Banking,Analyst/Research,Accounting,Analyst,Finance,Financial,Financial Analysis,financial analyst,Financial Management"
Treasury Manager,Confidential,"Maadi, Cairo, Egypt ",Full Time,Manager,7 - 15 Yrs of Exp,"Accounting/Finance,Banking,Accounting,Financial Analysis,Finance,Treasury"
Senior Financial Analyst,Confidential,"Cairo, Egypt ",Full Time,Experienced,3+ Yrs of Exp,"Accounting/Finance,Analyst/Research,Accounting,Finance,Construction,Financial Analysis,Financial Management"
content writer,Thaka International,"Badr City, Cairo, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,"Writing/Editorial,Marketing/PR/Advertising,Media/Journalism/Publishing,Arabic,media,Social Media,Communication,Communication skills,English,Analysis"
Senior Business & System Analyst (Onsite),Confidential,"Nasr City, Cairo, Egypt ",Full Time,Experienced,5+ Yrs of Exp,"IT/Software Development,Analyst/Research,Engineering - Telecom/Technology,Business Analysis,System Analysis,Business Functions,Business Planning,Project Management,Technical Analysis,UML"
BI Data Analyst,Ibn Sina Pharma,"New Cairo, Cairo, Egypt ",Full Time,Entry Level,1 - 3 Yrs of Exp,"IT/Software Development,Analyst/Research,Engineering - Telecom/Technology,Power BI,Analysis,Data Analytics,Business Data,BI,SQL,Data Analysis"
Financial Editor,Argaam,"Mohandessin, Giza, Egypt ",Full Time,Entry Level,1 - 3 Yrs of Exp,"Accounting/Finance,Writing/Editorial,Analyst/Research,Analysis,Accounting,Finance,CFA"
Data Quality Specialist,Sceel.io,"Maadi, Cairo, Egypt ",Full Time,Experienced,5 - 9 Yrs of Exp,"IT/Software Development,Computer Science,Analysis,Microsoft Office,SQL,Data Analysis,Engineering,Science,Communication,quality"
Chief Financial Officer (Exp. Manufacture),Confidential,"10th of Ramadan City, Sharqia, Egypt ",Full Time,Senior Management,12 - 15 Yrs of Exp,"Accounting/Finance,Operations/Management,C-Level Executive/GM/Director,Chief Financial Officer,Financial Management,Financial Analysis,CMA,CPA,CIA,CFA"
CFO,Confidential,"Beni Suef, Beni Suef, Egypt ",Full Time,Senior Management,15 - 20 Yrs of Exp,"Accounting/Finance,C-Level Executive/GM/Director,Accounting,CFO,CPA,Finance,Financial Analysis"
Financial Analyst ( Insurance Sector),Argaam,"Mohandessin, Giza, Egypt ",Full Time,Experienced,5 - 7 Yrs of Exp,"Accounting/Finance,Analyst/Research,Accounting,Analysis,Finance"
Chemist,Confidential,"10th of Ramadan City, Cairo, Egypt ",Full Time,Experienced,0 - 2 Yrs of Exp,"R&D/Science,Manufacturing/Production,Quality,Analysis,Chemist,Chemistry,Industrial,Quality Control,Science"
Financial Analyst (Banking Sector),Argaam,"Mohandessin, Giza, Egypt ",Full Time,Experienced,5 - 7 Yrs of Exp,"Accounting/Finance,Banking,Analyst/Research,Analysis,Banking,Accounting,Financial Analysis"
Senior Financial Analyst,Argaam,"Mohandessin, Giza, Egypt ",Full Time,Experienced,7 - 10 Yrs of Exp,"Accounting/Finance,Analyst/Research,Financial,Analysis,Accounting"
External Auditor (3 years of experience),Premier Services and Recruitment,"Maadi, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"Accounting/Finance,Accounting,Audit,Auditing,Finance,English,Financial Analysis,Tax"
ERPNext Specialist/Data Analyst,Confidential,"Alexandria, Egypt ",Full Time,Experienced,3+ Yrs of Exp,"IT/Software Development,Business Intelligence,BI,Data Analyst,Data Mining,Power BI,Data Analysis,ERPNext,ERP Implementation,Technical Support"
Data Engineer,Sceel.io,"Maadi, Cairo, Egypt ",Full Time,Experienced,5 - 10 Yrs of Exp,"IT/Software Development,Analyst/Research,Engineering - Telecom/Technology,Computer Engineering,Engineering,Information Technology (IT),Big Data,Data Analysis,Computer Science,Java"
General Accountant ( Home Appliances ),Confidential,"Obour City, Cairo, Egypt ",Full Time,Experienced,5 - 10 Yrs of Exp,"Accounting/Finance,Accounting,Financial Reporting,excel,Financial Analysis,MS Office,ERP System"
Accountant,Confidential,"Manial, Cairo, Egypt ",Full Time,Entry Level,1 - 3 Yrs of Exp,"Accounting/Finance,Administration,Banking,Accounting,Accounting Software,CPA,excel,Finance,CMA,Financial Analysis"
Senior Treasury Accountant,Confidential,"New Cairo, Cairo, Egypt ",Full Time,Experienced,4 - 7 Yrs of Exp,"males_preferred,Accounting/Finance,Banking,Medical/Healthcare,Accounting,Treasury Accountant,Treasury,Financial Management,Finance,accountant,Financial Analysis"
Talent Acquisition Specialist,Confidential,"Cairo, Egypt ",Full Time,Experienced,5 - 10 Yrs of Exp,"Human Resources,Human Resources (HR),Succession Planning,Recruitment,Training,Screening,HR Diploma,Business Administration,Job Analysis,Talent acquisition"
Senior Tax Accountant,Confidential,"6th of October, Giza, Egypt ",Full Time,Experienced,10+ Yrs of Exp,"Accounting/Finance,Accounting,English,ERP,ERP System,Finance,Financial Analysis,Microsoft Office,Taxes,tax accountant"
Treasury accountant,Confidential,"10th of Ramadan City, Cairo, Egypt ",Full Time,Entry Level,1 - 2 Yrs of Exp,"males_only,Accounting/Finance,accountant,Accounting,Finance,Treasury Accountant,Treasury,Financial Analysis"
Tendering Engineer - Mechanical,Solera,"Cairo, Egypt ",Full Time,Entry Level,3 - 5 Yrs of Exp,"Engineering - Mechanical/Electrical,Mechanical Engineering,Engineering,MS,Tendering,AutoCAD,Analysis,Procurement Engineer"
Commercial accountant,Fawry for Banking Technology and Electronic Payments S.A.E,"Smart Village, Giza, Egypt ",Full Time,Entry Level,1 - 2 Yrs of Exp,"Accounting/Finance,Banking,Accounting,English,Finance,Commerce,Financial Analysis,Microsoft Office"
Senior Business Analyst,Confidential,"Maadi, Cairo, Egypt ",Full Time,Experienced,4+ Yrs of Exp,"IT/Software Development,Analyst/Research,Engineering - Telecom/Technology,analytical,Communication,business,Business Analysis,Business Development,Business Writing,Computer Engineering"
General Accountant,Confidential,"Maadi, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"Accounting/Finance,accountant,Accounting,Finance,Financial Analysis,Financial Management,general accountant,Accounts Payable,Accounts,Communication"
Tax Accountant,Confidential,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,2 - 3 Yrs of Exp,"males_only,Accounting/Finance,Tax,Corporate Tax,SAP,English,Financial Analysis,Finance,Industrial,Accounting,Tax Laws"
Data Analytics Consultant (AWS Certified),Confidential,"Katameya, Cairo, Egypt ",Full Time,Experienced,4 - 10 Yrs of Exp,"IT/Software Development,Analyst/Research,Engineering - Telecom/Technology,Analytics,Computer Science,Data Analytics,Data Warehousing,Engineering,Information Technology (IT),SAP"
Chief Accountant,Confidential,"Sheraton, Cairo, Egypt ",Full Time,Experienced,8 - 12 Yrs of Exp,"Accounting/Finance,Accounting,excel,Financial Analysis"
Junior Accountant,Confidential,"Obour City, Cairo, Egypt ",Full Time,Entry Level,2 - 4 Yrs of Exp,"males_only,Accounting/Finance,accountant,Accounting,Accounts Payable,Accounts Receivable,computer software,Finance,Financial,Financial Analysis,Financial Reporting"
Chief Accountant,Confidential,"Obour City, Cairo, Egypt ",Full Time,Manager,10 - 15 Yrs of Exp,"Accounting/Finance,Banking,Operations/Management,Accounting,Financial Management,Financial Analysis,Financial,Finance,Tax,personal tax"
Accountant,Confidential,"Darrasa, Cairo, Egypt ",Full Time,Entry Level,1 - 3 Yrs of Exp,"Accounting/Finance,Accounting,Account Management,Finance,Accounting Reports,Accounts Payable,Accounts Receivable,Treasury Accounting,English,Accounting Software"
Chief Accounting Manager,Confidential,"Heliopolis, Cairo, Egypt ",Full Time,Manager,7 - 10 Yrs of Exp,"Accounting/Finance,Administration,Operations/Management,Accounting,Financial Management,Finance,analytical,Accounting Software,Financial Analysis"
Senior Financial Control Specialist,Ibn Sina Pharma,"New Cairo, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"Accounting/Finance,Accounting,CMA,Audit,Commerce,English,Finance,Financial Management,Leadership,IFRS"
Financial Analyst,Confidential,"Nasr City, Cairo, Egypt ",Full Time,Experienced,4 - 5 Yrs of Exp,"Accounting/Finance,Accounting,analytical,Finance,Financial Analysis,Statistics,Commerce"
Senior Acccounts Receivable Accountant,Confidential,"New Cairo, Cairo, Egypt ",Full Time,Experienced,7 - 15 Yrs of Exp,"Accounting/Finance,RECEIVABLE ACCOUNTANT,accountant,Accounting,Finance,Financial Analysis,Financial Management,Receivable,senior,Accounting Software"
Internal Auditor,Confidential,"Alexandria, Egypt ",Full Time,Experienced,2 - 7 Yrs of Exp,"Accounting/Finance,Quality,Accounting,Auditing,Financial Reporting,Internal audit,Financial Analysis,Finance,MS Office,Audit"
Deputy Accounting Manager - Multinational Company - ( Sokhna ),Pillars,"Cairo, Egypt ",Full Time,Experienced,12+ Yrs of Exp,"Accounting/Finance,Operations/Management,Accounting,Accounts Payable,Accounts Receivable,Commerce,Communication,Communication skills,Finance,Financial Analysis"
Business System Analyst - Financial,Argaam,"Mohandessin, Giza, Egypt ",Full Time,Experienced,2 - 5 Yrs of Exp,"Accounting/Finance,IT/Software Development,Analyst/Research,Analysis,Business Analysis,Financial Analysis"
Accounting Manager (Contracting),AlGammal Contracting,"Abu Qir, Alexandria, Egypt ",Full Time,Manager,10 - 12 Yrs of Exp,"males_preferred,Accounting/Finance,Administration,Operations/Management,Accounting,Finance,Financial Analysis,Financial Management,MS Office,Financial"
cost Manager,Confidential,"Obour City, Cairo, Egypt ",Full Time,Manager,10 - 18 Yrs of Exp,"Accounting/Finance,Budget Management,Cost Analysis,ERP,Finance,Financial Management,Accounting,CMA,Commerce,Financial Analysis"
Market Research Executive,Confidential,"Alexandria, Egypt ",Full Time,Experienced,3 - 4 Yrs of Exp,"Marketing/PR/Advertising,Analyst/Research,business,Analysis,Research,Market Research,Marketing,Communication"
Investment Opportunities and Industrial Integration Manager,Confidential,"Cairo, Egypt ",Full Time,Manager,15 - 20 Yrs of Exp,"Engineering - Other,Feasibility Study,Mathematical Economics,Engineering Field,Business Intelligence,Data Analysis,Project Management,Research Analysis"
CRM Analyst,Erada,"Maadi, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"Business Development,Customer Service/Support,Sales/Retail,CRM,Business Analysis,business"
Project Deliverables Writer,Thaka International,"Badr City, Cairo, Egypt ",Full Time,Experienced,6+ Yrs of Exp,"Administration,Business Development,Analyst/Research,Project Management,Microsoft Visio,Management,Writing,Engineering,managment,Data Analysis"
Financial Planning Business partner,Confidential,"Cairo, Egypt ",Full Time,Experienced,5 - 7 Yrs of Exp,"Accounting/Finance,Financial Analysis,Business Planning"
Finance Manager,Confidential,"Giza, Egypt ",Full Time,Manager,10 - 13 Yrs of Exp,"Accounting/Finance,Banking,Operations/Management,Accounting,Accounting Software,excel,Finance,Financial,Financial Analysis,Commerce"
National_Chief Budget Analyst | Real Estate | CFC,Dubai Festival City,"Cairo, Egypt ",Full Time,Not specified,Not Specified,"Medical/Healthcare,Sales/Retail,futtaim,budgeting,financial,accounting,expenses"
Accounts Payable Supervisor,Confidential,"6th of October, Giza, Egypt ",Full Time,Experienced,5 - 7 Yrs of Exp,"Accounting/Finance,Accounting,Accounting Procedures,Generally Accepted Accounting Principles,GAAP,Accounts Payable"
Accountant,Confidential,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"Accounting/Finance,Administration,Banking,Accounting,Accounting Software,Construction"
G/L & Treasury - Manager,Network International -Egypt,"New Cairo, Cairo, Egypt ",Full Time,Manager,8 - 10 Yrs of Exp,"Accounting/Finance,IFRS,ERP,Oracle ERP,Hyberion,G/L,Treasury,CMA,CTP,Finance"
Soft Skills Trainer,Xceed Contact Center,"Nasr City, Cairo, Egypt ",Full Time,Experienced,1 - 2 Yrs of Exp,"Training/Instructor,Training,Soft skills trainer,Trainer,TOT,TTT,Train the trainer,Customer Service,Instructor,Operational Trainer"
Senior OD & Talent Management Specialist,Confidential,"Agouza, Giza, Egypt ",Full Time,Experienced,5 - 8 Yrs of Exp,"Human Resources,OD,Organization Development,Human Resources (HR),Interviewing,communication skills"
Senior Data Engineer,Erada,"Maadi, Cairo, Egypt ",Full Time,Experienced,4 - 6 Yrs of Exp,"IT/Software Development,Engineering - Telecom/Technology,Engineering,Computer Science,Information Technology (IT),Software Development"
"Vendor Consultant, Spanish Speakers, AVS-NOP",Souq.com for E-Commerce LLC,"Cairo, Egypt ",Full Time,Not specified,Not Specified,"Sales/Retail,Engineering - Telecom/Technology,vendors,vendor,consultant,customers,manufacturers"
Retail Account Manager,Souq.com for E-Commerce LLC,"Cairo, Egypt ",Full Time,Not specified,Not Specified,"Marketing/PR/Advertising,Sales/Retail,Sales,Sales Skills,Customer Service,Sales Target,Customer Support,Customer Care,Account Management"
Mechanical Site Engineer,Confidential,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,4 - 10 Yrs of Exp,"Engineering - Construction/Civil/Architecture,Engineering - Mechanical/Electrical,Mechanical,Mechanical Engineering,Engineering"
Finance Manager (ALEX),Confidential,"Agami, Alexandria, Egypt ",Full Time,Manager,10 - 15 Yrs of Exp,"Accounting/Finance,Operations/Management,Accounting,Finance,Financial,SAP,Financial Management"
HSE Manager,Kandil Industries,"10th of Ramadan City, Cairo, Egypt ",Full Time,Manager,10 - 15 Yrs of Exp,"Operations/Management,Manufacturing/Production,Engineering - Other,HSE,Operations,Safety,NEBOSH,quality,Engineering"
Cost Accounting Section Head,Confidential,"Bourj Alarab, Alexandria, Egypt ",Full Time,Experienced,7 - 10 Yrs of Exp,"Accounting/Finance,CMA,Cost Accounting,Industrial,Manufacturing,Microsoft Office,Cost,dairies,Accounting"
Senior Planning Engineer,Confidential,"New Cairo, Cairo, Egypt ",Full Time,Experienced,6 - 15 Yrs of Exp,"Engineering - Construction/Civil/Architecture,Construction,Engineering,Civil,architectural"
Accounts Payable Team Leader (Associate Manager),"S. C. Johnson & Son, Inc.","Cairo, Egypt ",Full Time,Not specified,Not Specified,"Operations/Management,Sales/Retail,Customer Service,Customer Support,Customer Care,Call Center,Management,English,CSR"
Chief Accountant | Healthcare,Confidential,"New Cairo, Cairo, Egypt ",Full Time,Manager,10 - 15 Yrs of Exp,"Accounting/Finance,Accounting,Healthcare"
TLS - Compliance - Intern,PwC Middle East,"Cairo, Egypt ",Full Time,Not specified,Not Specified,"IT/Software Development,Engineering - Telecom/Technology,Information Technology (IT),Computer Engineering,Computer Science,SSL,Engineering,DevOps,TLS"
Marketing Executive,Confidential,"Sheikh Zayed, Giza, Egypt ",Full Time,Experienced,1 - 3 Yrs of Exp,"Marketing/PR/Advertising,Marketing,Market Research,Social Media,Communication"
Compensation And Benefits Supervisor - SAP User,Talaat Moustafa Group,"Dokki, Giza, Egypt ",Full Time,Experienced,4 - 7 Yrs of Exp,"Human Resources,Human Resources (HR),Compensation,HR,SAP,Communication skills,Human Resources,Benefits Management"
HR Talent Development Team Leader,Confidential,"New Cairo, Cairo, Egypt ",Full Time,Manager,8+ Yrs of Exp,"Human Resources,Human Resources (HR),Microsoft Office,Training Management,Training,Business Administration,Organizational Development,Development,HR,learning"
Production Manager - Large Glass Processing Company,Pillars,"Cairo, Egypt ",Full Time,Manager,8 - 12 Yrs of Exp,"Operations/Management,Manufacturing/Production,Production,Manufacturing,Engineering,Time Management,Planning,Management"
