Job title,Company name,Location,Job type,Experience Level,Experience years,Skills
Mobile and Tablets Category Manager,B.TECH,"Nasr City, Cairo, Egypt ",Full Time,Manager,3 - 5 Yrs of Exp,"Business Development,Operations/Management,Sales/Retail,E-commerce,Category Management,Electronics,home appliances,Commerce,Marketing,Sales"
BIM Manager,Confidential,"New Cairo, Cairo, Egypt ",Full Time,Manager,8 - 15 Yrs of Exp,"Engineering - Other,BIM,Engineering,Architecture,Project Management"
Senior Net. Developer,Xceed Contact Center,"Cairo, Egypt ",Full Time,Experienced,2 - 3 Yrs of Exp,"IT/Software Development,Engineering - Telecom/Technology,C#,ASP.net MVC,.Net Core,SQL Server databases,SQL,ADO.net,LINQ,JavaScript"
Business Solutions Manager,Kandil Industries,"10th of Ramadan City, Cairo, Egypt ",Full Time,Manager,10 - 15 Yrs of Exp,"IT/Software Development,Operations/Management,Solutions,Business Solutions"
Quality Assurance Manager,Confidential,"Nasr City, Cairo, Egypt ",Full Time,Manager,10 - 15 Yrs of Exp,"Operations/Management,Quality,Quality,Collection Process,ISO,MS Office,Audit,Microsoft Office,QA,Quality Assurance"
Digital Transformation Manager,Kandil Industries,"10th of Ramadan City, Cairo, Egypt ",Full Time,Manager,10 - 15 Yrs of Exp,"IT/Software Development,Information Technology (IT),digital Transformation,Software Development,Software Engineering,ERP,ERP Software,ERP Solutions"
Safety Officer,Confidential,"Katameya, Cairo, Egypt ",Full Time,Experienced,3 - 7 Yrs of Exp,"Engineering - Construction/Civil/Architecture,Quality,Engineering - Other,Communication skills,Epa,Health,Health and Safety,Engineering,Legislation,MS Office"
Data Architect,Sceel.io,"Maadi, Cairo, Egypt ",Full Time,Experienced,5 - 9 Yrs of Exp,"IT/Software Development,Analyst/Research,Engineering - Telecom/Technology,Big Data,Computer Engineering,Computer Science,Data Modeling,ETL,Hadoop,Information Technology (IT)"
Data Modeler,Sceel.io,"Maadi, Cairo, Egypt ",Full Time,Experienced,5 - 9 Yrs of Exp,"IT/Software Development,Analyst/Research,Engineering - Telecom/Technology,Data Modeling,Data Integration,Database Design,ETL,Information Technology (IT),SQL,Modeling"
Compensation And Benefits Section Head,Confidential,"10th of Ramadan City, Cairo, Egypt ",Full Time,Experienced,5 - 8 Yrs of Exp,"Human Resources,Operations/Management,Compensation,HR,Human Resources (HR),Benefits"
